2063,,,,,,,
12,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
,22.808071,120.243255,0,70,1,1,2015Q2
,22.810107,120.281735,135,70,3,1,2015Q2
,22.816821,120.506732,180,70,1,1,2015Q2
,22.820523,120.269965,315,70,1,1,2015Q2
,22.820878,121.090546,180,60,1,1,2015Q2
,22.821185,121.188889,180,50,3,1,2015Q2
,22.829281,120.266111,0,60,1,1,2015Q2
,22.836371,120.317456,0,60,3,1,2015Q2
,22.840775,120.263888,0,60,1,1,2015Q2
,22.845162,120.385532,315,110,1,1,2015Q2
,22.854271,120.261308,180,50,3,1,2015Q2
,22.857098,121.092234,0,50,1,1,2015Q2
,22.857803,120.504775,0,60,1,1,2015Q2
,22.859275,120.324374,0,60,1,1,2015Q2
,22.860743,120.468511,0,70,1,1,2015Q2
,22.862292,120.227481,180,60,3,1,2015Q2
,22.863736,120.28646,135,110,1,1,2015Q2
,22.871486,120.490161,135,70,1,1,2015Q2
,22.872154,120.47394,45,70,1,1,2015Q2
,22.713722,120.533792,180,50,1,1,2015Q2
,22.714099,120.294066,270,50,1,1,2015Q2
,22.714138,120.323404,270,50,1,1,2015Q2
,22.714205,120.310983,90,50,1,1,2015Q2
,22.714426,120.325884,0,60,1,1,2015Q2
,22.714591,120.315246,225,50,1,1,2015Q2
,22.715525,120.39013,225,60,1,1,2015Q2
,22.71635,120.539045,90,50,1,1,2015Q2
,22.716461,121.049574,225,70,3,1,2015Q2
,22.717424,120.303826,45,50,1,1,2015Q2
,22.717866,120.292147,0,50,1,1,2015Q2
,22.717898,120.325352,180,60,1,1,2015Q2
,22.717903,120.488306,0,70,1,1,2015Q2
,22.717915,120.488306,180,70,1,1,2015Q2
,22.719018,120.599124,45,60,1,1,2015Q2
,22.719369,120.283167,135,60,1,1,2015Q2
,22.719704,120.28705,45,60,1,1,2015Q2
,22.719871,120.310037,270,50,1,1,2015Q2
,22.720803,121.085429,225,60,1,1,2015Q2
,22.721536,120.291026,0,60,1,1,2015Q2
,22.722693,120.29612,270,60,3,1,2015Q2
,22.722772,120.277524,315,60,1,1,2015Q2
,22.72339,120.298122,225,60,3,1,2015Q2
,22.723815,120.329855,45,60,1,1,2015Q2
,22.723988,120.330489,315,50,1,1,2015Q2
,22.724426,120.314862,270,50,1,1,2015Q2
,22.725853,120.540756,45,60,3,1,2015Q2
,22.726415,120.309995,45,60,1,1,2015Q2
,22.726737,120.310655,225,60,1,1,2015Q2
,22.727114,120.274318,315,60,1,1,2015Q2
,22.727226,121.117413,45,70,1,1,2015Q2
,22.727245,121.117451,225,70,1,1,2015Q2
,22.728194,120.321458,0,60,1,1,2015Q2
,22.728219,120.445056,0,70,1,1,2015Q2
,22.730525,120.315668,45,60,3,1,2015Q2
,22.732024,120.29242,0,60,1,1,2015Q2
,22.923754,120.184961,180,50,1,1,2015Q2
,22.923972,120.239065,45,40,3,1,2015Q2
,22.927082,121.268589,180,50,1,1,2015Q2
,22.930261,120.176682,0,70,1,1,2015Q2
,22.930294,120.176682,180,70,1,1,2015Q2
,22.931851,120.220989,180,70,1,1,2015Q2
,22.939045,121.142777,180,60,1,1,2015Q2
,22.939104,121.142768,0,60,1,1,2015Q2
,22.939898,120.221019,180,70,1,1,2015Q2
,22.941179,120.181685,180,50,3,1,2015Q2
,22.944868,120.195549,0,50,1,1,2015Q2
,22.945018,120.195548,180,50,1,1,2015Q2
,22.947701,120.275434,0,70,1,1,2015Q2
,22.948556,120.17396,0,60,1,1,2015Q2
,22.950496,120.184571,0,50,1,1,2015Q2
,22.956199,120.186272,0,50,1,1,2015Q2
,22.958496,120.183813,0,60,1,1,2015Q2
,22.958681,120.169597,315,50,1,1,2015Q2
,22.95875,120.169566,135,50,1,1,2015Q2
,22.961413,120.188878,90,60,1,1,2015Q2
,22.961913,120.192923,270,60,1,1,2015Q2
,22.876752,120.225155,270,70,3,1,2015Q2
,22.878013,120.308126,270,70,1,1,2015Q2
,22.878724,120.292368,270,70,3,1,2015Q2
,22.879041,120.312681,90,70,1,1,2015Q2
,22.880088,120.270144,90,70,1,1,2015Q2
,22.884566,120.471995,135,50,1,1,2015Q2
,22.886333,120.519841,270,60,3,1,2015Q2
,22.891751,120.483461,180,60,1,1,2015Q2
,22.892503,120.272373,315,110,1,1,2015Q2
,22.894148,121.095042,0,60,1,1,2015Q2
,22.895358,121.247904,225,50,1,1,2015Q2
,22.896764,120.51988,45,60,3,1,2015Q2
,22.898177,121.096351,225,60,1,1,2015Q2
,22.898962,120.481495,135,50,3,1,2015Q2
,22.899788,120.480051,315,60,1,1,2015Q2
,22.908511,120.177316,180,70,3,1,2015Q2
,22.909085,120.470254,90,60,1,1,2015Q2
,22.909614,120.22694,180,70,3,1,2015Q2
,22.912935,120.536579,315,50,1,1,2015Q2
,22.915118,120.261766,315,110,1,1,2015Q2
,22.919942,120.225484,315,50,1,1,2015Q2
,23.173518,121.242795,45,60,1,1,2015Q2
,23.176723,120.254127,315,50,1,1,2015Q2
,23.17707,120.219744,270,60,3,1,2015Q2
,23.183258,121.248707,225,60,1,1,2015Q2
,23.183321,121.24875,45,60,1,1,2015Q2
,23.187639,120.133043,0,70,1,1,2015Q2
,23.200966,120.236401,180,110,1,1,2015Q2
,23.201188,120.355518,0,110,1,1,2015Q2
